Compound,Life_extended,CAS Number,SMILES,PubChem_Common_Name,PubChem_CID
Everolimus,0,159351-69-6,C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)OCCO)C)/C)O)OC)C)C)/C)OC,Everolimus,6442177
Fumagillol,0,23110-15-8,CC(=CC[C@@H]1[C@@](O1)(C)[C@H]2[C@@H]([C@@H](CC[C@]23CO3)OC(=O)/C=C/C=C/C=C/C=C/C(=O)O)OC)C,fumagillin,6917655
Gamma linolenic acid,0,506-26-3,CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)O,gamma-Linolenic acid,5280933
Gefitinib,0,184475-35-2,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4,Gefitinib,123631
Glipizide,0,29094-61-9,CC1=CN=C(C=N1)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,glipizide,3478
Lactulose,0,4618-18-2,C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@@]([C@H]2O)(CO)O)CO)O)O)O)O,lactulose,11333
Imatinib,0,152459-95-5,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,Imatinib,5291
Levetiracetam,0,102767-28-2,CC[C@@H](C(=O)N)N1CCCC1=O,Levetiracetam,5284583
,0,,CCCCCC[C@@H]1[C@H]([C@@H](OC(=O)[C@H]([C@H](OC1=O)C)NC(=O)C2=C(C(=CC=C2)NC=O)O)C)OC(=O)CC(C)C,Antimycin A,14957
,0,,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5.CS(=O)(=O)O,Imatinib mesylate,123596
,0,,C#CCO[C@@H]1CC[C@@H](N(C1)C(=O)N2N=CC(=N2)C(C3=CC=C(C=C3)F)(C4=CC=C(C=C4)F)O)CC5=CC=CC=C5,DH376,129188688
,0,,C1CN2C(CN1CC3=CC=C(C=C3)Cl)C(=O)N(C2=O)OC(=O)N4CCOC5=CC=CC=C54,abc99,134817170
,0,,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)C(F)(F)F.Cl,Triflupromazine hydrochloride,66069
,0,,COC1=CC(=CC(=C1)/C=C/C2=CC=C(C=C2)O)OC,Pterostilbene,5281727
,0,,CC(=O)N[C@@H](CS)C(=O)O,N-Acetyl-L-cysteine,12035
,0,,C1=CC(=CC=C1N/C(=N/C(=NCCCCCCN=C(/N=C(/NC2=CC=C(C=C2)Cl)\N)N)N)/N)Cl,Chlorohexidine,2713
,0,,C1CCN(C(C1)CC2=CC=CC=C2)C(=O)N3C=C(N=N3)C4=CC=C(C=C4)C5=CC=CC=C5,1402612-55-8,53364540
,0,,CC(=C)[C@H]1CC2=C(O1)C=CC3=C2O[C@@H]4COC5=CC(=C(C=C5[C@@H]4C3=O)OC)OC,rotenone,6758
,0,,CC(C)(C=C)C1=C(C=C(C(=C1)/C=C/C(=O)C2=CC=C(C=C2)O)OC)O,licochalcone a,5318998
,0,,C1CN(CCN1CCC2=C(C=C3C(=C2)CC(=O)N3)Cl)C4=NSC5=CC=CC=C54.O.Cl,138982-67-9,60853
,0,,CCN(CC)CCN(CC1=CC=C(C=C1)C2=CC=C(C=C2)C(F)(F)F)C(=O)CN3C4=C(CCC4)C(=O)N=C3SCC5=CC=C(C=C5)F,Darapladib,9939609
,0,,C[C@H]1CCCC(=O)CCC/C=C/C2=C(C(=CC(=C2)O)O)C(=O)O1,ZEARALENONE,5281576
,0,,CC1=NN=C(S1)SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)CN4C=NN=N4)SC2)C(=O)[O-].[Na+],CEFAZOLIN SODIUM,23675322
,0,,C1C2=CC=CC=C2N(C3=CC=CC=C3C1=O)C(=O)N,OXCARBAZEPINE,34312
,0,,C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl)CCO,perphenazine,4748
,0,,CCCNCC(COC1=CC=CC=C1C(=O)CCC2=CC=CC=C2)O.Cl,PROPAFENONE HYDROCHLORIDE,36708
,0,,C(CC(=O)N[C@@H](CS)C(=O)NCC(=O)O)[C@@H](C(=O)O)N,glutathione,124886
,0,,COC(=O)N1C(=O)[C@@](N1C(=O)OC)(C2CCCC2)C3=CC=CC=C3,ABL127,24856225
,0,,C1CCN(C1)C(=O)N2C=CN=N2,AA26-9,46829239
,0,,CCN1C2=CC3=C(C=C2C(=O)C(=N1)C(=O)O)OCO3,cinoxacin,2762
,0,,CN(C)CCC1=CNC2=C1C=C(C=C2)CN3C=NC=N3.C1=CC=C(C=C1)C(=O)O,Rizatriptan benzoate,77997
,0,,C1CN(CCC1=CC2=CC(=CC=C2)OC3=NC=C(C=C3)C(F)(F)F)C(=O)NC4=NN=CC=C4,PF-04457845,24771824
,0,,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[N-]=O.O.O.[Na+].[Na+].[Fe+4],Sodiun nitroferricyanide dihydrate,25199963
,0,,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CS3,nocodazole,4122
,0,,CC(=O)/C=C\1/C2=CC=CC=C2N(C1=O)C,supercinnamaldehyde,12480412
,0,,COC1=CC=C(C=C1)CCN2CCC(CC2)NC3=NC4=CC=CC=C4N3CC5=CC=C(C=C5)F,astemizole,2247
,0,,CC1=C(C(C(=C(N1)C)C(=O)OCC(C)C)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC,nisoldipine,4499
,0,,CCCCCCCCCC[C@H]1[C@@H](OC1=O)CCC2=CC(=C(C=C2)OC)OC,Palmostatin B,45100481
,0,,COCCCC/C(=N\OCCN)/C1=CC=C(C=C1)C(F)(F)F,fluvoxamine,5324346
,0,,CC(C)[N+](C)(CCOC(=O)C1C2=CC=CC=C2OC3=CC=CC=C13)C(C)C.[Br-],PROPANTHELINE BROMIDE,9279
,0,,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC(=C(C=C4CC3)OC)OC)OC,Palmatine,19009
,0,,COC1=CC=C(C=C1)C2=CC=C(C=C2)C3=CN(N=N3)C(=O)N4CCCCC4C5=CC=CC=C5,1402612-58-1,53364533
,0,,CC1=CC(=C(C=C1)SC2=CC=CC=C2N3CCNCC3)C,VORTIOXETINE,9966051
,0,,C[C@H]1COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4(C)C,Cryptotanshinone,160254
,0,,C[C@](CC1=CC(=C(C=C1)O)O)(C(=O)O)NN,carbidopa,34359
,0,,C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl,furosemide,3440
,0,,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C=C(C(=C3O)O)O)O,Scutellarein,5281697
,0,,CCN(CC)CCNC(=O)C1=C(C=CC(=C1)S(=O)(=O)C)OC.Cl,Tiapride hydrochloride,5702214
,0,,CC1=CC(=CC=C1)C2CN(CCC3=C(C(=C(C=C23)O)O)Cl)C.Br,SKF 83959 hydrobromide,11957685
,0,,C1=CC=C(C(=C1)C(=O)OC2=CC=CC=C2C(=O)O)O,Salsalate,5161
,0,,C1=CC=C(C=C1)CCC2/C(=C/CCCCC(=O)N)/C(=O)O2,1646795-60-9,86289034
,0,,CC1(C=CC2=C(O1)C=CC3=C2O[C@@H]4COC5=CC(=C(C=C5[C@@H]4C3=O)OC)OC)C,Deguelin,107935
,0,,CC[N+](CC)(CC)CCOC1=CC=C(C=C1)/C=C/C2=CC=CC=C2.[I-],Stilonium iodide,6433339
,0,,CC1=CC2=C(C=C1)OC/C(=C\C3=CC(=C(C=C3)OC)O)/C2=O,3-[1-(3-Hydroxy-4-methoxyphenyl)-meth-(E)-ylidene]-6-methyl-chroman-4-one,24987039
,0,,CC(=O)NS(=O)(=O)C1=CC=C(C=C1)N,sulfacetamide,5320
,0,,C1CN(CCC1C(C2=CC3=C(C=C2)OCO3)(C4=CC5=C(C=C4)OCO5)O)C(=O)OC(C(F)(F)F)C(F)(F)F,KML29,71656212
,0,,C[C@@H]([C@@H](C1=CC=C(C=C1)O)O)NCCC2=CC=C(C=C2)O.Cl,MFCD01657514,31728
,0,,CCCC[N+]1([C@@H]2CC(C[C@H]1[C@H]3[C@@H]2O3)OC(=O)[C@H](CO)C4=CC=CC=C4)C.[Br-],Hyoscine butylbromide,6852391
,0,,CC[C@@]1(C[C@@H]2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O.OS(=O)(=O)O,Vincristine sulfate,249332
,0,,CCN(CC)C(=O)[C@@]1(C[C@@H]1CN)C2=CC=CC=C2.Cl,Milnacipran hydrochloride,163701
,0,,CC(C)C1=CC=CC=C1OC(=O)NCCC2=CC3=CC=CC=C3C=C2,1354359-53-7,57330099
,0,,C[C@@H](C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC1=CNC2=CC=CC=C21)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC3=CNC4=CC=CC=C43)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC5=CNC6=CC=CC=C65)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC7=CNC8=CC=CC=C87)C(=O)NCCO)NC(=O)CNC(=O)[C@H](C(C)C)NC=O,1405-97-6,16130140
,0,,CC1=[N+](C2=CC=CC=C2C(=C1)N)CCCCCCCCCC[N+]3=C(C=C(C4=CC=CC=C43)N)C.[Cl-].[Cl-],dequalinium chloride,10649
,0,,CCN(CC)C(C)CN1C2=CC=CC=C2SC3=CC=CC=C31.Cl,Ethopropazine hydrochloride,122824
,0,,C[C@@]12CC[C@H]3[C@]([C@@]14[C@H](O4)C(=O)O[C@H]2C5=COC=C5)(C(=O)C[C@@H]6[C@@]37COC(=O)C[C@@H]7OC6(C)C)C,Limonin,179651
,0,,C1=CC=C(C=C1)CCNN.OS(=O)(=O)O,Phenelzine sulfate,61100
,0,,C1CC(CCC1NC(=O)COC2=CC=C(C=C2)Cl)NC(=O)COC3=CC=C(C=C3)Cl,ISRIB,1011240
,0,,CC(=CCC/C(=C/COC1=CC2=C(C=C1)C=CC(=O)O2)/C)C,Auraptene,1550607
,0,,CCCCCC(=O)O[C@@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C)C(=O)C,HYDROXYPROGESTERONE CAPROATE,169870
,0,,CC1(C2CCC(C1C2)CCOCC[N+]3(CCOCC3)CC4=CC(=C(C=C4Br)OC)OC)C.[Br-],PINAVERIUM BROMIDE,40703
,0,,C[N+](C)(C)CCO.[Cl-],CHOLINE CHLORIDE,6209
,0,,CN1CCC2=CC(=C(C=C2[C@H](C1)C3=CC=CC=C3)O)Cl.Cl,SCH 23390 HYDROCHLORIDE,11957535
,0,,C1=CC=C(C=C1)COC2=NC(=NC3=C2NC=N3)N,o6-benzylguanine,4578
,0,,CCN1C(=O)C(NC1=O)C2=CC=CC=C2,ethotoin,3292
,0,,CN1C=NC2=C1C(=O)NC(=O)N2C,theobromine,5429
,0,,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O,genistein,5280961
,0,,CC(C)(C)[C@]1(CCN2C[C@@H]3C4=CC=CC=C4CCC5=C3C(=CC=C5)[C@H]2C1)O.Cl,BUTACLAMOL HYDROCHLORIDE,37460
,0,,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO)O,thymidine,5789
,0,,C1=CNC(=O)NC1=O,uracil,1174
,1,,C1=CC(=C(C=C1[N+](=O)[O-])Cl)NC(=O)C2=C(C=CC(=C2)Cl)O,niclosamide,4477
,1,,CCCCCCC[N+](CC)(CC)CCCCC1=CC=C(C=C1)Cl.CC1=CC=C(C=C1)S(=O)(=O)[O-],Clofilium tosylate,175533
,1,,C1=CC=C2C(=C1)C(=O)C(=C(O2)C3=CC=C(C=C3)O)O,"3,4'-DIHYDROXYFLAVONE",688715
,1,,CC1=C2COC(=O)C2=C(C(=C1OC)C/C=C(\C)/CCC(=O)O)O,mycophenolic acid,446541
,1,,CC12CC3CC(C1)(CC(C3)(C2)N)C.Cl,MEMANTINE HYDROCHLORIDE,181458
,1,,C1=CC=C(C=C1)C2=CC(=O)C3=CC(=C(C=C3O2)O)O,"6,7-dihydroxyflavone",5353357
,1,,C1=CC=C2C(=C1)C=C(N2CC(=O)O)C(=O)NC3=NC(=CS3)C4=CC=CC=C4Cl.O,SR 27897 hydrate,71728480
,1,,COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O,carvedilol,2585
,1,,C1=CC=C(C=C1)P2(=S)NC3=CC=CC=C3O2,FW1256,13975035
,1,,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=CC(=C3)O,6-Hydroxyflavone,72279
,1,,COCCNC(=O)COC1=CC=C(C=C1)OCCNC[C@@H](COC2=CC=CC=C2)O.Cl,ZD 7114 hydrochloride,9890216
,1,,CCCCN1CCCCC1C(=O)NC2=C(C=CC=C2C)C.Cl,Bupivacaine hydrochloride,64737
,1,,C1CN(CCN1C/C=C/C2=CC=CC=C2)C(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F.Cl.Cl,flunarizine hydrochloride,5282407
,1,,CCN1C=C(C(=O)C2=CC(=C(C(=C21)F)N3CCNC(C3)C)F)C(=O)O.Cl,Lomefloxacin hydrochloride,68624
,1,,CC[N+](CC)(CC)CC.[Cl-],TETRAETHYLAMMONIUM CHLORIDE,5946
,1,,C[C@]12CC[C@@]34C[C@@]35CC[C@@H](C([C@@H]5[C@H](C[C@H]4[C@@]1(C[C@@H]([C@@H]2[C@]6(CC[C@H](O6)C(C)(C)O)C)O)C)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)(C)C)O[C@H]8[C@@H]([C@H]([C@@H](CO8)O)O)O,Astragaloside IV,13943297
,1,,CCOC(=O)N1CCN(CC1)/[N+](=N/OC2=C(C=C(C=C2)[N+](=O)[O-])[N+](=O)[O-])/[O-],205432-12-8,9572720
,1,,C[C@H]1C[C@@H]([C@@H]([C@H](/C=C(/[C@@H]([C@H](/C=C\C=C(\C(=O)NC2=CC(=O)C(=C(C1)C2=O)OC)/C)OC)OC(=O)N)\C)C)O)OC,geldanamycin,5288382
,1,,C1COCCN1[N+]2=CC(=N)O[N-]2.Cl,3-Morpholinosydnonimine hydrochloride,9859122
,1,,CC(=O)O[C@@H]1C[C@@H]2[C@](C=CC(=O)C2(C)C)([C@@H]3[C@@]1([C@]45[C@H](O4)C(=O)O[C@H]([C@@]5(CC3)C)C6=COC=C6)C)C,gedunin,12004512
,1,,CN1C2=C(C(=O)NC1=O)NC=N2,3-Methylxanthine,70639
,1,,C([C@@H]1[C@H]([C@H]([C@H](C(O1)O)N)O)O)O,D-Allosamine,6915732
,1,,CCCCCCCCCC[C@H]1[C@@H](OC1=O)CCCCS(=O)(=O)CCCN(C)C,Palmostatin M,56641205
,1,,C[C@@]12CCN([C@@H]1N(C3=C2C=C(C=C3)OC(=O)NC)C)C.C[C@@]12CCN([C@@H]1N(C3=C2C=C(C=C3)OC(=O)NC)C)C.OS(=O)(=O)O,Eserine sulfate,6419928
,1,,CCCCCN(CCCCC)C(=O)C(CCC(=O)[O-])NC(=O)C1=CC(=C(C=C1)Cl)Cl.[Na+],Lorglumide sodium,23681233
,1,,COC1=CC=CC(=C1O)O,3-METHOXYCATECHOL,13622
,1,,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,EGCG,65064
,1,,C1[C@H](ON=C1Cl)[C@@H](C(=O)O)N,acivicin,294641
,1,,CC\1=C(C2=C(/C1=C\C3=CC=C(C=C3)SC)C=CC(=C2)F)CC(=O)O,Sulindac sulfide,5352624
,1,,CN(C)C(=O)/N=N/C(=O)N(C)C,"1,1'-azobis(N,N'-dimethylformamide)",4278
,1,,CCC(C)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OC[C@H]5CO[C@](O5)(CN6C=NC=N6)C7=C(C=C(C=C7)Cl)Cl,itraconazole,55283
,1,,C1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O,chrysin,5281607
,1,,C1=CC=C(C=C1)C2=CN3C(=N2)SC(=N3)S(=O)(=O)N,63735-71-7,698112
,1,,COC1=CC=C(C=C1)N2CCN(CC2)C(=O)ON3C(=O)C4CN(CCN4C3=O)CC5CCN(CC5)CC6=CC=CC=C6,1831135-46-6,118525530
,1,,C1CCC(CC1)NC(=O)OC2=CC=CC(=C2)C3=CC(=CC=C3)C(=O)N,546141-08-6,1383884
,1,,C([C@H](C([C@H](CO)O)O)O)O,xylitol,6912
,1,,COC1=CC(=CC(=C1OC)OC)[C@H]2[C@@H]3[C@H](COC3=O)[C@H](C4=CC5=C(C=C24)OCO5)O,podophyllotoxin,10607
,1,,CN1C(=C(C2=CC=CC=C2S1(=O)=O)O)C(=O)NC3=CC=CC=N3,piroxicam,54676228
,1,,CC1=C(C(=O)N2C=CC=CC2=N1)CCN3CCC(CC3)C(=O)C4=CC=C(C=C4)F,Pirenperone,4847
,1,,CCCCN1CCCC1CNC(=O)C2=C(C3=CC=CC=C3C(=C2)C#N)OC,Nafadotride,3408722
,1,,C([C@H]([C@@H](CS)O)O)S,"(2S,3S)-1,4-DIMERCAPTOBUTANE-2,3-DIOL",446094
,1,,CC1=CC=C(O1)/C=N/NC(=O)C2=CC=CC=C2OC3=CC=CC=C3,PNU-74654,9836739
,1,,CCC(C)(C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C,simvastatin,54454
,1,,CN(C)CCCN1C2=CC=CC=C2SC3=CC=CC=C31.Cl,PROMAZINE HYDROCHLORIDE,5887
,1,,COC1=CC=C(C=C1)CC(=O)C2=C(C=C(C=C2)O)O,ONONETIN,259632
,1,,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C(=C3O)O)O,baicalein,5281605
,1,,CC(=CCO)C,3-METHYL-2-BUTEN-1-OL,11173
,1,,C1[C@H]2[C@H](CO[C@@H]2OC3=CC4=C(C=C3)OCO4)[C@H](O1)C5=CC6=C(C=C5)OCO6,Sesamolin,101746
,1,,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4COC5=CC=CC=C5O4)N)OC.CS(=O)(=O)O,Doxazosin mesylate,62978
,1,,CN(C1CCCCC1)C(=O)N2C=C(N=C2)C3=C[N+](=CC=C3)[O-],1233855-46-3,46831476
,1,,C1(C(C(C(C(C1OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O,Phytic acid,890
,1,,C1[C@@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,(+)-catechin,9064
,1,,CC[C@H](C)[C@H]1C(=O)N[C@H](C(=O)NC(=C)C(=O)N[C@H](C(=O)N[C@]23CCC(=N[C@@H]2C4=CSC(=N4)[C@H]([C@H](OC(=O)C5=NC6=C(C=C[C@H]([C@@H]6O)N1)C(=C5)[C@H](C)O)C)NC(=O)C7=CSC(=N7)[C@@H](NC(=O)[C@H]8CSC(=N8)/C(=C/C)/NC(=O)[C@@H](NC(=O)C9=CSC3=N9)[C@@H](C)O)[C@@](C)([C@@H](C)O)O)C1=NC(=CS1)C(=O)NC(=C)C(=O)NC(=C)C(=O)N)C)C,thiostrepton,16154490
,1,,CCCCN(CC)C1=NC(=NC2=C1C(=C(N2C3=C(C=C(C=C3C)C)C)C)C)C,Antalarmin,177990
,1,,C1(C(C(C(C(C1O)O)O)O)O)O,inositol,892
,1,,CC(COC1=CC=CC=C1)N(CCCl)CC2=CC=CC=C2.Cl,Phenoxybenzamine hydrochloride,5284441
