PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,Download_URL,Download_Status,PDF_Filename,Error_Message
34663973,"Fasting drives the metabolic, molecular and geroprotective effects of a calorie-restricted diet in mice","Pak HH, Haws SA, Green CL, Koller M, Lavarias MT, Richardson NE, Yang SE, Dumas SN, Sonsalla M, Bray L, Johnson M, Barnes S, Darley-Usmar V, Zhang J, Yen CE, Denu JM, Lamming DW.",Nat Metab. 2021 Oct;3(10):1327-1341. doi: 10.1038/s42255-021-00466-9. Epub 2021 Oct 18.,Pak HH,Nat Metab,2021,2021/10/19,PMC8544824,NIHMS1737120,10.1038/s42255-021-00466-9,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/57/da/PMC8544824.tar.gz,Match Found,,
30306826,Spermidine: a physiological autophagy inducer acting as an anti-aging vitamin in humans?,"Madeo F, Bauer MA, Carmona-Gutierrez D, Kroemer G.",Autophagy. 2019 Jan;15(1):165-168. doi: 10.1080/15548627.2018.1530929. Epub 2018 Oct 11.,Madeo F,Autophagy,2019,2018/10/12,PMC6287690,,10.1080/15548627.2018.1530929,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/c2/ea/PMC6287690.tar.gz,Match Found,,
37222007,Physical exercise attenuates age-related muscle atrophy and exhibits anti-ageing effects via the adiponectin receptor 1 signalling,"Chen YL, Ma YC, Tang J, Zhang D, Zhao Q, Liu JJ, Tang HS, Zhang JY, He GH, Zhong CH, Wu YT, Wen HR, Ma LQ, Zou CG.",J Cachexia Sarcopenia Muscle. 2023 Aug;14(4):1789-1801. doi: 10.1002/jcsm.13257. Epub 2023 May 24.,Chen YL,J Cachexia Sarcopenia Muscle,2023,2023/5/24,PMC10401527,,10.1002/jcsm.13257,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/83/43/PMC10401527.tar.gz,Match Found,,
28548953,From rapalogs to anti-aging formula,Blagosklonny MV.,Oncotarget. 2017 May 30;8(22):35492-35507. doi: 10.18632/oncotarget.18033.,Blagosklonny MV,Oncotarget,2017,2017/5/27,PMC5482593,,10.18632/oncotarget.18033,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/99/34/PMC5482593.tar.gz,Match Found,,
35681008,Lysosome lipid signalling from the periphery to neurons regulates longevity,"Savini M, Folick A, Lee YT, Jin F, Cuevas A, Tillman MC, Duffy JD, Zhao Q, Neve IA, Hu PW, Yu Y, Zhang Q, Ye Y, Mair WB, Wang J, Han L, Ortlund EA, Wang MC.",Nat Cell Biol. 2022 Jun;24(6):906-916. doi: 10.1038/s41556-022-00926-8. Epub 2022 Jun 9.,Savini M,Nat Cell Biol,2022,2022/6/10,PMC9203275,,10.1038/s41556-022-00926-8,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/29/20/PMC9203275.tar.gz,Match Found,,
36642188,Compound combinations targeting longevity: Challenges and perspectives,"Rybina OY, Symonenko AV, Pasyukova EG.",Ageing Res Rev. 2023 Mar;85:101851. doi: 10.1016/j.arr.2023.101851. Epub 2023 Jan 13.,Rybina OY,Ageing Res Rev,2023,2023/1/15,,,10.1016/j.arr.2023.101851,,Failed,,No download link found: 10.1016/j.arr.2023.101851
37561384,Geroprotective potential of microbiome modulators in the Caenorhabditis elegans model,"Miller BC, Mathai M, Yadav H, Jain S.",Geroscience. 2024 Feb;46(1):129-151. doi: 10.1007/s11357-023-00901-7. Epub 2023 Aug 10.,Miller BC,Geroscience,2024,2023/8/10,PMC10828408,,10.1007/s11357-023-00901-7,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/f7/91/PMC10828408.tar.gz,Match Found,,
39609482,Endogenous chondroitin extends lifespan by inhibiting VHA-7-mediated tubular lysosome formation,"Shibata Y, Tanaka Y, Mori S, Mitsuzumi K, Fujii S, Sasakura H, Morioka Y, Sugioka K, Takeuchi K, Nishiwaki K.",Sci Rep. 2024 Nov 29;14(1):29651. doi: 10.1038/s41598-024-80242-3.,Shibata Y,Sci Rep,2024,2024/11/28,PMC11605119,,10.1038/s41598-024-80242-3,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/e0/d5/PMC11605119.tar.gz,Match Found,,
34504654,Anti-aging: senolytics or gerostatics (unconventional view),Blagosklonny MV.,Oncotarget. 2021 Aug 31;12(18):1821-1835. doi: 10.18632/oncotarget.28049. eCollection 2021 Aug 31.,Blagosklonny MV,Oncotarget,2021,2021/9/10,PMC8416555,,10.18632/oncotarget.28049,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/22/ef/PMC8416555.tar.gz,Match Found,,
31886745,"Dietary Epicatechin, A Novel Anti-aging Bioactive Small Molecule","Si H, Lai CQ, Liu D.",Curr Med Chem. 2021;28(1):3-18. doi: 10.2174/0929867327666191230104958.,Si H,Curr Med Chem,2021,2019/12/31,,,10.2174/0929867327666191230104958,,Failed,,No download link found: 10.2174/0929867327666191230104958
39434620,Senolytics Enhance the Longevity of Caenorhabditis elegans by Altering Betaine Metabolism,"Lan W, Xiao X, Nian J, Wang Z, Zhang X, Wu Y, Zhang D, Chen J, Bao W, Li C, Zhang Y, Zhu A, Zhang F.",J Gerontol A Biol Sci Med Sci. 2024 Nov 1;79(11):glae221. doi: 10.1093/gerona/glae221.,Lan W,J Gerontol A Biol Sci Med Sci,2024,2024/10/22,,,10.1093/gerona/glae221,,Failed,,No download link found: 10.1093/gerona/glae221
38784035,"SIRT1, resveratrol and aging","Rogina B, Tissenbaum HA.",Front Genet. 2024 May 9;15:1393181. doi: 10.3389/fgene.2024.1393181. eCollection 2024.,Rogina B,Front Genet,2024,2024/5/24,PMC11112063,,10.3389/fgene.2024.1393181,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/d6/c5/PMC11112063.tar.gz,Match Found,,
19591290,[Anti-aging drugs],"Kuno A, Horio Y.",Nihon Rinsho. 2009 Jul;67(7):1384-8.,Kuno A,Nihon Rinsho,2009,2009/7/14,,,,,Failed,,No download link found: 19591290
37118538,"Sexual identity of enterocytes regulates autophagy to determine intestinal health, lifespan and responses to rapamycin","Regan JC, Lu YX, Ureña E, Meilenbrock RL, Catterson JH, Kißler D, Fröhlich J, Funk E, Partridge L.",Nat Aging. 2022 Dec;2(12):1145-1158. doi: 10.1038/s43587-022-00308-7. Epub 2022 Dec 1.,Regan JC,Nat Aging,2022,2023/4/28,PMC10154239,,10.1038/s43587-022-00308-7,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/e2/82/PMC10154239.tar.gz,Match Found,,
38567489,Fasting mimicking diet extends lifespan and improves intestinal and cognitive health,"Wang Q, Xu J, Luo M, Jiang Y, Gu Y, Wang Q, He J, Sun Y, Lin Y, Feng L, Chen S, Hou T.",Food Funct. 2024 Apr 22;15(8):4503-4514. doi: 10.1039/d4fo00483c.,Wang Q,Food Funct,2024,2024/4/3,,,10.1039/d4fo00483c,,Failed,,No download link found: 10.1039/d4fo00483c
36375654,Gender-specific effects of pro-longevity interventions in Drosophila,"Lushchak O, Strilbytska O, Storey KB.",Mech Ageing Dev. 2023 Jan;209:111754. doi: 10.1016/j.mad.2022.111754. Epub 2022 Nov 12.,Lushchak O,Mech Ageing Dev,2023,2022/11/14,,,10.1016/j.mad.2022.111754,,Failed,,No download link found: 10.1016/j.mad.2022.111754
30232765,Which is the Most Reasonable Anti-aging Strategy: Meta-analysis,"Liang Y, Wang Z.",Adv Exp Med Biol. 2018;1086:267-282. doi: 10.1007/978-981-13-1117-8_17.,Liang Y,Adv Exp Med Biol,2018,2018/9/21,,,10.1007/978-981-13-1117-8_17,,Success,PMID30232765.pdf,
31658751,Caenorhabditis Elegans and Probiotics Interactions from a Prolongevity Perspective,"Roselli M, Schifano E, Guantario B, Zinno P, Uccelletti D, Devirgiliis C.",Int J Mol Sci. 2019 Oct 10;20(20):5020. doi: 10.3390/ijms20205020.,Roselli M,Int J Mol Sci,2019,2019/10/30,PMC6834311,,10.3390/ijms20205020,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/fc/63/PMC6834311.tar.gz,Match Found,,
31396511,On the Fly: Recent Progress on Autophagy and Aging in Drosophila,"Maruzs T, Simon-Vecsei Z, Kiss V, Csizmadia T, Juhász G.",Front Cell Dev Biol. 2019 Jul 24;7:140. doi: 10.3389/fcell.2019.00140. eCollection 2019.,Maruzs T,Front Cell Dev Biol,2019,2019/8/10,PMC6667644,,10.3389/fcell.2019.00140,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/a3/bf/PMC6667644.tar.gz,Match Found,,
37389698,Calorie restriction mimetic drugs could favorably influence gut microbiota leading to lifespan extension,"Shintani T, Shintani H, Sato M, Ashida H.",Geroscience. 2023 Dec;45(6):3475-3490. doi: 10.1007/s11357-023-00851-0. Epub 2023 Jun 30.,Shintani T,Geroscience,2023,2023/6/30,PMC10643761,,10.1007/s11357-023-00851-0,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/55/cd/PMC10643761.tar.gz,Match Found,,
34856917,Relevance of Bioassay of Biologically Active Substances (BAS) with Geroprotective Properties in the Model of the Nematode Caenorhabditis Elegans in In Vivo Experiments,"Dyshlyuk LS, Dmitrieva AI, Drozdova MY, Milentyeva IS, Prosekov AY.",Curr Aging Sci. 2022;15(2):121-134. doi: 10.2174/1874609814666211202144911.,Dyshlyuk LS,Curr Aging Sci,2022,2021/12/3,,,10.2174/1874609814666211202144911,,Failed,,No download link found: 10.2174/1874609814666211202144911
37288076,"Synthesis, anti-aging and mechanism of magnolol derivatives","Pang X, Mao L, Ye D, Wang W, Yang H, Fan X, Yang Y, Su Z, Ma T, Sun M, Liu Y.",Front Chem. 2023 May 23;11:1180375. doi: 10.3389/fchem.2023.1180375. eCollection 2023.,Pang X,Front Chem,2023,2023/6/8,PMC10242077,,10.3389/fchem.2023.1180375,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/5f/58/PMC10242077.tar.gz,Match Found,,
37140725,Unraveling effects of anti-aging drugs on C. elegans using liposomes,"Zhang A, Hsiung KC, Kern CC, Wang Y, Girtle AL, Xu N, Gems D.",Geroscience. 2023 Jun;45(3):1583-1603. doi: 10.1007/s11357-023-00800-x. Epub 2023 May 4.,Zhang A,Geroscience,2023,2023/5/4,PMC10158714,,10.1007/s11357-023-00800-x,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/57/e4/PMC10158714.tar.gz,Match Found,,
40338239,Berberine Extends Lifespan in C. elegans Through Multi-Target Synergistic Antioxidant Effects,"Bei Y, Wang T, Guan S.",Antioxidants (Basel). 2025 Apr 9;14(4):450. doi: 10.3390/antiox14040450.,Bei Y,Antioxidants (Basel),2025,2025/5/8,PMC12024168,,10.3390/antiox14040450,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/59/ed/PMC12024168.tar.gz,Match Found,,
35534591,Antiaging agents: safe interventions to slow aging and healthy life span extension,Liu JK.,Nat Prod Bioprospect. 2022 May 9;12(1):18. doi: 10.1007/s13659-022-00339-y.,Liu JK,Nat Prod Bioprospect,2022,2022/5/9,PMC9086005,,10.1007/s13659-022-00339-y,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/b5/d7/PMC9086005.tar.gz,Match Found,,
38987256,Regulatory mechanism of cold-inducible diapause in Caenorhabditis elegans,"Horikawa M, Fukuyama M, Antebi A, Mizunuma M.",Nat Commun. 2024 Jul 10;15(1):5793. doi: 10.1038/s41467-024-50111-8.,Horikawa M,Nat Commun,2024,2024/7/10,PMC11237089,,10.1038/s41467-024-50111-8,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/98/7a/PMC11237089.tar.gz,Match Found,,
25238416,Mechanisms underlying the anti-aging and anti-tumor effects of lithocholic bile acid,"Arlia-Ciommo A, Piano A, Svistkova V, Mohtashami S, Titorenko VI.",Int J Mol Sci. 2014 Sep 18;15(9):16522-43. doi: 10.3390/ijms150916522.,Arlia-Ciommo A,Int J Mol Sci,2014,2014/9/20,PMC4200844,,10.3390/ijms150916522,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/83/7d/PMC4200844.tar.gz,Match Found,,
39245488,Low methyl-esterified ginseng homogalacturonan pectins promote longevity of Caenorhabditis elegans via impairing insulin/IGF-1 signalling,"Wang J, Wang Y, Xu X, Song C, Zhou Y, Xue D, Feng Z, Zhou Y, Li X.",Carbohydr Polym. 2024 Dec 15;346:122600. doi: 10.1016/j.carbpol.2024.122600. Epub 2024 Aug 9.,Wang J,Carbohydr Polym,2024,2024/9/8,,,10.1016/j.carbpol.2024.122600,,Failed,,No download link found: 10.1016/j.carbpol.2024.122600
39061927,Astragalin from Thesium chinense: A Novel Anti-Aging and Antioxidant Agent Targeting IGFR/CD38/Sirtuins,"Wang R, Ding A, Wang J, Wang J, Zhou Y, Chen M, Ju S, Tan M, Xiang Z.",Antioxidants (Basel). 2024 Jul 18;13(7):859. doi: 10.3390/antiox13070859.,Wang R,Antioxidants (Basel),2024,2024/7/27,PMC11273813,,10.3390/antiox13070859,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/d8/e7/PMC11273813.tar.gz,Match Found,,
37346299,Curcumin supplementation increases longevity and antioxidant capacity in Caenorhabditis elegans,"Xu J, Du P, Liu X, Xu X, Ge Y, Zhang C.",Front Pharmacol. 2023 Jun 6;14:1195490. doi: 10.3389/fphar.2023.1195490. eCollection 2023.,Xu J,Front Pharmacol,2023,2023/6/22,PMC10279890,,10.3389/fphar.2023.1195490,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/e6/b8/PMC10279890.tar.gz,Match Found,,
36558363,Soft-Shelled Turtle Peptides Extend Lifespan and Healthspan in Drosophila,"Wang Q, Zhang J, Zhuang J, Shen F, Zhao M, Du J, Yu P, Zhong H, Feng F.",Nutrients. 2022 Dec 7;14(24):5205. doi: 10.3390/nu14245205.,Wang Q,Nutrients,2022,2022/12/23,PMC9781693,,10.3390/nu14245205,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/c1/96/PMC9781693.tar.gz,Match Found,,
29766797,Anti-aging and Anti-aggregation Properties of Polyphenolic Compounds in C. elegans,"Papaevgeniou N, Chondrogianni N.",Curr Pharm Des. 2018;24(19):2107-2120. doi: 10.2174/1381612824666180515145652.,Papaevgeniou N,Curr Pharm Des,2018,2018/5/17,,,10.2174/1381612824666180515145652,,Success,PMID29766797.pdf,
36597655,"Anti-aging effects of dietary phytochemicals: From Caenorhabditis elegans, Drosophila melanogaster, rodents to clinical studies","Chen JC, Wang R, Wei CC.",Crit Rev Food Sci Nutr. 2024;64(17):5958-5983. doi: 10.1080/10408398.2022.2160961. Epub 2023 Jan 3.,Chen JC,Crit Rev Food Sci Nutr,2024,2023/1/4,,,10.1080/10408398.2022.2160961,,Failed,,No download link found: 10.1080/10408398.2022.2160961
29363766,The role of autophagy in the regulation of yeast life span,"Tyler JK, Johnson JE.",Ann N Y Acad Sci. 2018 Apr;1418(1):31-43. doi: 10.1111/nyas.13549. Epub 2018 Jan 24.,Tyler JK,Ann N Y Acad Sci,2018,2018/1/25,PMC5934334,NIHMS914710,10.1111/nyas.13549,,Success,PMID29363766.pdf,
39225061,Rapamycin's lifespan effect is modulated by mito-nuclear epistasis in Drosophila,"Ibrahim R, Bahilo Martinez M, Dobson AJ.",Aging Cell. 2024 Dec;23(12):e14328. doi: 10.1111/acel.14328. Epub 2024 Sep 3.,Ibrahim R,Aging Cell,2024,2024/9/3,PMC11634709,,10.1111/acel.14328,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/cb/41/PMC11634709.tar.gz,Match Found,,
39199191,Anoectochilus roxburghii Extract Extends the Lifespan of Caenorhabditis elegans through Activating the daf-16/FoxO Pathway,"Xu P, Wang J, Wang J, Hu X, Wang W, Lu S, Sheng Y.",Antioxidants (Basel). 2024 Aug 2;13(8):945. doi: 10.3390/antiox13080945.,Xu P,Antioxidants (Basel),2024,2024/8/29,PMC11351832,,10.3390/antiox13080945,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/23/e1/PMC11351832.tar.gz,Match Found,,
28567542,Current Perspective in the Discovery of Anti-aging Agents from Natural Products,"Ding AJ, Zheng SQ, Huang XB, Xing TK, Wu GS, Sun HY, Qi SH, Luo HR.",Nat Prod Bioprospect. 2017 Oct;7(5):335-404. doi: 10.1007/s13659-017-0135-9. Epub 2017 May 31.,Ding AJ,Nat Prod Bioprospect,2017,2017/6/2,PMC5655361,,10.1007/s13659-017-0135-9,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/ca/cc/PMC5655361.tar.gz,Match Found,,
27113007,Longevity-Promoting Pharmaceuticals: Is it a Time for Implementation?,"Vaiserman AM, Marotta F.",Trends Pharmacol Sci. 2016 May;37(5):331-333. doi: 10.1016/j.tips.2016.02.003.,Vaiserman AM,Trends Pharmacol Sci,2016,2016/4/27,,,10.1016/j.tips.2016.02.003,,Success,PMID27113007.pdf,
39033639,Unraveling anti-aging mystery of green tea in C. elegans: Chemical truth and multiple mechanisms,"Ke JP, Li JY, Yang Z, Wu HY, Yu JY, Yang Y, Chen CH, Zhou P, Hua F, Wang W, Hu F, Chu GX, Wan XC, Bao GH.",Food Chem. 2024 Dec 1;460(Pt 1):140510. doi: 10.1016/j.foodchem.2024.140510. Epub 2024 Jul 17.,Ke JP,Food Chem,2024,2024/7/21,,,10.1016/j.foodchem.2024.140510,,Failed,,No download link found: 10.1016/j.foodchem.2024.140510
38301041,GV1001 reduces neurodegeneration and prolongs lifespan in 3xTg-AD mouse model through anti-aging effects,"Park HH, Kwon HS, Lee KY, Kim YE, Son JW, Choi NY, Han MH, Park DW, Kim S, Koh SH.",Aging (Albany NY). 2024 Jan 31;16(3):1983-2004. doi: 10.18632/aging.205489. Epub 2024 Jan 31.,Park HH,Aging (Albany NY),2024,2024/2/1,PMC10911355,,10.18632/aging.205489,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/0c/cb/PMC10911355.tar.gz,Match Found,,
36670049,Rilmenidine extends lifespan and healthspan in Caenorhabditis elegans via a nischarin I1-imidazoline receptor,"Bennett DF, Goyala A, Statzer C, Beckett CW, Tyshkovskiy A, Gladyshev VN, Ewald CY, de Magalhães JP.",Aging Cell. 2023 Feb;22(2):e13774. doi: 10.1111/acel.13774. Epub 2023 Jan 20.,Bennett DF,Aging Cell,2023,2023/1/20,PMC9924948,,10.1111/acel.13774,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/15/c5/PMC9924948.tar.gz,Match Found,,
40431385,Unveiling the Anti-Aging Potential of 3HB: Lifespan Extension and Cellular Senescence Delay,"An Y, Wang Q, Qiao P, Liu J, Ma A, Chen Y, Yang D, Ying Y, Li N, Lu F, Zhang H, Chen G, Zhu Y, Yang B, Xie Z.",Nutrients. 2025 May 12;17(10):1647. doi: 10.3390/nu17101647.,An Y,Nutrients,2025,2025/5/28,PMC12114465,,10.3390/nu17101647,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/fe/8d/PMC12114465.tar.gz,Match Found,,
35821992,Drug Screening Implicates Chondroitin Sulfate as a Potential Longevity Pill,Ewald CY.,Front Aging. 2021 Sep 8;2:741843. doi: 10.3389/fragi.2021.741843. eCollection 2021.,Ewald CY,Front Aging,2021,2022/7/13,PMC9261418,,10.3389/fragi.2021.741843,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/1b/f4/PMC9261418.tar.gz,Match Found,,
35445360,Cannabidiol induces autophagy and improves neuronal health associated with SIRT1 mediated longevity,"Wang Z, Zheng P, Chen X, Xie Y, Weston-Green K, Solowij N, Chew YL, Huang XF.",Geroscience. 2022 Jun;44(3):1505-1524. doi: 10.1007/s11357-022-00559-7. Epub 2022 Apr 20.,Wang Z,Geroscience,2022,2022/4/21,PMC9213613,,10.1007/s11357-022-00559-7,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/0b/44/PMC9213613.tar.gz,Match Found,,
35065134,Inhibitor GSK690693 extends Drosophila lifespan via reduce AKT signaling pathway,"Cheng X, Xie M, Luo L, Tian Y, Yu G, Wu Q, Fan X, Yang D, Mao X, Gaur U, Yang M.",Mech Ageing Dev. 2022 Mar;202:111633. doi: 10.1016/j.mad.2022.111633. Epub 2022 Jan 20.,Cheng X,Mech Ageing Dev,2022,2022/1/22,,,10.1016/j.mad.2022.111633,,Success,PMID35065134.pdf,
37192703,Protein-rich yeast extract (®fermgard) has potential antioxidant and anti-aging activities,"Li Q, Cai W, Li N, Su W, Li H, Zhang H, Chen Z, Gong S, Ge X, Liu B, Zeng F.",Comp Biochem Physiol C Toxicol Pharmacol. 2023 Aug;270:109656. doi: 10.1016/j.cbpc.2023.109656. Epub 2023 May 14.,Li Q,Comp Biochem Physiol C Toxicol Pharmacol,2023,2023/5/16,,,10.1016/j.cbpc.2023.109656,,Failed,,No download link found: 10.1016/j.cbpc.2023.109656
33498013,Evaluation of the geroprotective effects of withaferin A in Drosophila melanogaster,"Koval L, Zemskaya N, Aliper A, Zhavoronkov A, Moskalev A.",Aging (Albany NY). 2021 Jan 26;13(2):1817-1841. doi: 10.18632/aging.202572. Epub 2021 Jan 26.,Koval L,Aging (Albany NY),2021,2021/1/26,PMC7880378,,10.18632/aging.202572,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/9e/d4/PMC7880378.tar.gz,Match Found,,
34771018,Curcumin Acetylsalicylate Extends the Lifespan of Caenorhabditis elegans,"Zhou L, Liu J, Bu LL, Liao DF, Cheng SW, Zheng XL.",Molecules. 2021 Oct 31;26(21):6609. doi: 10.3390/molecules26216609.,Zhou L,Molecules,2021,2021/11/13,PMC8586958,,10.3390/molecules26216609,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/00/00/PMC8586958.tar.gz,Match Found,,
39170193,Research on the anti-oxidant and anti-aging effects of Polygonatum kingianum saponins in Caenorhabditis elegans,"Huang Y, Wang Y, Deng J, Gao S, Qiu J, He J, Yang T, Tan N, Cheng S, Song Z.",Heliyon. 2024 Aug 2;10(15):e35556. doi: 10.1016/j.heliyon.2024.e35556. eCollection 2024 Aug 15.,Huang Y,Heliyon,2024,2024/8/22,PMC11336756,,10.1016/j.heliyon.2024.e35556,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/e9/ee/PMC11336756.tar.gz,Match Found,,
38587512,Endocrine Regulation of Aging in the Fruit Fly Drosophila melanogaster,"Qian Q, Niwa R.",Zoolog Sci. 2024 Feb;41(1):4-13. doi: 10.2108/zs230056.,Qian Q,Zoolog Sci,2024,2024/4/8,,,10.2108/zs230056,,Failed,,No download link found: 10.2108/zs230056
