Compound,Life_extended,CAS Number,SMILES,PubChem_Name,PubChem_CID
Bromocriptine,1,25614-03-3,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]3(N1C(=O)[C@](O3)(C(C)C)NC(=O)[C@H]4CN([C@@H]5CC6=C(NC7=CC=CC(=C67)C5=C4)Br)C)O,"(6aR,9R)-5-bromo-N-[(1S,2S,4R,7S)-2-hydroxy-7-(2-methylpropyl)-5,8-dioxo-4-propan-2-yl-3-oxa-6,9-diazatricyclo[7.3.0.02,6]dodecan-4-yl]-7-methyl-6,6a,8,9-tetrahydro-4H-indolo[4,3-fg]quinoline-9-carboxamide",31101.0
Coumarin 478,1,41175-45-5,C1CC2=C(C1)C(=O)OC3=C2C=C4CCCN5C4=C3CCC5,"3-oxa-16-azapentacyclo[10.7.1.02,10.05,9.016,20]icosa-1(20),2(10),5(9),11-tetraen-4-one",100336.0
Echinatin,1,34221-41-5,COC1=C(C=CC(=C1)O)/C=C/C(=O)C2=CC=C(C=C2)O,(E)-3-(4-hydroxy-2-methoxyphenyl)-1-(4-hydroxyphenyl)prop-2-en-1-one,6442675.0
Fisetin,1,528-48-3,C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C=C(C=C3)O)O)O)O,"2-(3,4-dihydroxyphenyl)-3,7-dihydroxychromen-4-one",5281614.0
Fluspirilene,1,1841-19-6,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F,"8-[4,4-bis(4-fluorophenyl)butyl]-1-phenyl-1,3,8-triazaspiro[4.5]decan-4-one",3396.0
Rapamycin,1,53123-88-9,C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)O)C)/C)O)OC)C)C)/C)OC,"(1R,9S,12S,15R,16E,18R,19R,21R,23S,24E,26E,28E,30S,32S,35R)-1,18-dihydroxy-12-[(2R)-1-[(1S,3R,4R)-4-hydroxy-3-methoxycyclohexyl]propan-2-yl]-19,30-dimethoxy-15,17,21,23,29,35-hexamethyl-11,36-dioxa-4-azatricyclo[30.3.1.04,9]hexatriaconta-16,24,26,28-tetraene-2,3,10,14,20-pentone",5284616.0
Sitagliptin,1,486460-32-6,C1CN2C(=NN=C2C(F)(F)F)CN1C(=O)C[C@@H](CC3=CC(=C(C=C3F)F)F)N,"(3R)-3-amino-1-[3-(trifluoromethyl)-6,8-dihydro-5H-[1,2,4]triazolo[4,3-a]pyrazin-7-yl]-4-(2,4,5-trifluorophenyl)butan-1-one",4369359.0
17-Alpha estradiol,1,57-91-0,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@H]2O)CCC4=C3C=CC(=C4)O,"(8R,9S,13S,14S,17R)-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-3,17-diol",68570.0
Obeticholic acid,1,459789-99-2,CC[C@@H]1[C@@H]2C[C@@H](CC[C@@]2([C@H]3CC[C@]4([C@H]([C@@H]3[C@@H]1O)CC[C@@H]4[C@H](C)CCC(=O)O)C)C)O,"(4R)-4-[(3R,5S,6R,7R,8S,9S,10S,13R,14S,17R)-6-ethyl-3,7-dihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoic acid",447715.0
Ritonavir,1,155213-67-5,CC(C)C1=NC(=CS1)CN(C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC2=CC=CC=C2)C[C@@H]([C@H](CC3=CC=CC=C3)NC(=O)OCC4=CN=CS4)O,"1,3-thiazol-5-ylmethyl N-[(2S,3S,5S)-3-hydroxy-5-[[(2S)-3-methyl-2-[[methyl-[(2-propan-2-yl-1,3-thiazol-4-yl)methyl]carbamoyl]amino]butanoyl]amino]-1,6-diphenylhexan-2-yl]carbamate",392622.0
Aloin,1,1415-73-2,C1=CC2=C(C(=C1)O)C(=O)C3=C([C@H]2[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)C=C(C=C3O)CO,"(10S)-1,8-dihydroxy-3-(hydroxymethyl)-10-[(2S,3R,4R,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]-10H-anthracen-9-one",12305761.0
Alpha mangostin,1,6147/11/1,CC(=CCC1=C(C2=C(C=C1O)OC3=C(C2=O)C(=C(C(=C3)O)OC)CC=C(C)C)O)C,"1,3,6-trihydroxy-7-methoxy-2,8-bis(3-methylbut-2-enyl)xanthen-9-one",5281650.0
Arecoline,1,63-75-2,CN1CCC=C(C1)C(=O)OC,"methyl 1-methyl-3,6-dihydro-2H-pyridine-5-carboxylate",2230.0
Aspirin,1,50-78-2,CC(=O)OC1=CC=CC=C1C(=O)O,2-acetyloxybenzoic acid,2244.0
Bakuchiol,1,10309-37-2,CC(=CCC[C@@](C)(C=C)/C=C/C1=CC=C(C=C1)O)C,"4-[(1E,3S)-3-ethenyl-3,7-dimethylocta-1,6-dienyl]phenol",5468522.0
Beta GPA,1,353-09-3,C(CN=C(N)N)C(=O)O,3-(diaminomethylideneamino)propanoic acid,67701.0
Bortezomib,1,179324-69-7,B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,[(1R)-3-methyl-1-[[(2S)-3-phenyl-2-(pyrazine-2-carbonylamino)propanoyl]amino]butyl]boronic acid,387447.0
Cinnarizine,1,298-57-7,C1CN(CCN1C/C=C/C2=CC=CC=C2)C(C3=CC=CC=C3)C4=CC=CC=C4,1-benzhydryl-4-[(E)-3-phenylprop-2-enyl]piperazine,1547484.0
Curcumin,1,458-37-7,COC1=C(C=CC(=C1)/C=C/C(=O)CC(=O)/C=C/C2=CC(=C(C=C2)O)OC)O,"(1E,6E)-1,7-bis(4-hydroxy-3-methoxyphenyl)hepta-1,6-diene-3,5-dione",969516.0
Dapagliflozin,1,461432-26-8,CCOC1=CC=C(C=C1)CC2=C(C=CC(=C2)[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)Cl,"(2S,3R,4R,5S,6R)-2-[4-chloro-3-[(4-ethoxyphenyl)methyl]phenyl]-6-(hydroxymethyl)oxane-3,4,5-triol",9887712.0
Dasatinib,1,302962-49-8,CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=CC(=NC(=N3)C)N4CCN(CC4)CCO,"N-(2-chloro-6-methylphenyl)-2-[[6-[4-(2-hydroxyethyl)piperazin-1-yl]-2-methylpyrimidin-4-yl]amino]-1,3-thiazole-5-carboxamide",3062316.0
AZD7545,0,252017-04-2,C[C@@](C(=O)NC1=C(C=C(C=C1)S(=O)(=O)C2=CC=C(C=C2)C(=O)N(C)C)Cl)(C(F)(F)F)O,"4-[3-chloro-4-[[(2R)-3,3,3-trifluoro-2-hydroxy-2-methylpropanoyl]amino]phenyl]sulfonyl-N,N-dimethylbenzamide",16741245.0
Aldosterone,0,52-39-1,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@H]4C(=O)CO)C=O)O,"(8S,9S,10R,11S,13R,14S,17S)-11-hydroxy-17-(2-hydroxyacetyl)-10-methyl-3-oxo-1,2,6,7,8,9,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthrene-13-carbaldehyde",5839.0
Diuron,0,330-54-1,CN(C)C(=O)NC1=CC(=C(C=C1)Cl)Cl,"3-(3,4-dichlorophenyl)-1,1-dimethylurea",3120.0
Emapunil,0,226954-04-7,CCN(CC1=CC=CC=C1)C(=O)CN2C3=NC(=NC=C3N(C2=O)C)C4=CC=CC=C4,N-benzyl-N-ethyl-2-(7-methyl-8-oxo-2-phenylpurin-9-yl)acetamide,6433109.0
Erlotinib,0,183321-74-6,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC,"N-(3-ethynylphenyl)-6,7-bis(2-methoxyethoxy)quinazolin-4-amine",176870.0
Everolimus,0,159351-69-6,C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)OCCO)C)/C)O)OC)C)C)/C)OC,"(1R,9S,12S,15R,16E,18R,19R,21R,23S,24E,26E,28E,30S,32S,35R)-1,18-dihydroxy-12-[(2R)-1-[(1S,3R,4R)-4-(2-hydroxyethoxy)-3-methoxycyclohexyl]propan-2-yl]-19,30-dimethoxy-15,17,21,23,29,35-hexamethyl-11,36-dioxa-4-azatricyclo[30.3.1.04,9]hexatriaconta-16,24,26,28-tetraene-2,3,10,14,20-pentone",6442177.0
Fumagillol,0,23110-15-8,CC(=CC[C@@H]1[C@@](O1)(C)[C@H]2[C@@H]([C@@H](CC[C@]23CO3)OC(=O)/C=C/C=C/C=C/C=C/C(=O)O)OC)C,"(2E,4E,6E,8E)-10-[[(3R,4S,5S,6R)-5-methoxy-4-[(2R,3R)-2-methyl-3-(3-methylbut-2-enyl)oxiran-2-yl]-1-oxaspiro[2.5]octan-6-yl]oxy]-10-oxodeca-2,4,6,8-tetraenoic acid",6917655.0
Gamma linolenic acid,0,506-26-3,CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)O,"(6Z,9Z,12Z)-octadeca-6,9,12-trienoic acid",5280933.0
Gefitinib,0,184475-35-2,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4,N-(3-chloro-4-fluorophenyl)-7-methoxy-6-(3-morpholin-4-ylpropoxy)quinazolin-4-amine,123631.0
Glipizide,0,29094-61-9,CC1=CN=C(C=N1)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,N-[2-[4-(cyclohexylcarbamoylsulfamoyl)phenyl]ethyl]-5-methylpyrazine-2-carboxamide,3478.0
Lactulose,0,4618-18-2,C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@@]([C@H]2O)(CO)O)CO)O)O)O)O,"(2S,3R,4S,5R,6R)-2-[(2R,3S,4S,5R)-4,5-dihydroxy-2,5-bis(hydroxymethyl)oxolan-3-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol",11333.0
Imatinib,0,152459-95-5,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,4-[(4-methylpiperazin-1-yl)methyl]-N-[4-methyl-3-[(4-pyridin-3-ylpyrimidin-2-yl)amino]phenyl]benzamide,5291.0
Levetiracetam,0,102767-28-2,CC[C@@H](C(=O)N)N1CCCC1=O,(2S)-2-(2-oxopyrrolidin-1-yl)butanamide,5284583.0
,0,,CCCCCC[C@@H]1[C@H]([C@@H](OC(=O)[C@H]([C@H](OC1=O)C)NC(=O)C2=C(C(=CC=C2)NC=O)O)C)OC(=O)CC(C)C,"[(2R,3S,6S,7R,8R)-3-[(3-formamido-2-hydroxybenzoyl)amino]-8-hexyl-2,6-dimethyl-4,9-dioxo-1,5-dioxonan-7-yl] 3-methylbutanoate",14957.0
,0,,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5.CS(=O)(=O)O,methanesulfonic acid;4-[(4-methylpiperazin-1-yl)methyl]-N-[4-methyl-3-[(4-pyridin-3-ylpyrimidin-2-yl)amino]phenyl]benzamide,123596.0
,0,,C#CCO[C@@H]1CC[C@@H](N(C1)C(=O)N2N=CC(=N2)C(C3=CC=C(C=C3)F)(C4=CC=C(C=C4)F)O)CC5=CC=CC=C5,"[(2R,5R)-2-benzyl-5-prop-2-ynoxypiperidin-1-yl]-[4-[bis(4-fluorophenyl)-hydroxymethyl]triazol-2-yl]methanone",129188688.0
,0,,C1CN2C(CN1CC3=CC=C(C=C3)Cl)C(=O)N(C2=O)OC(=O)N4CCOC5=CC=CC=C54,"[7-[(4-chlorophenyl)methyl]-1,3-dioxo-5,6,8,8a-tetrahydroimidazo[1,5-a]pyrazin-2-yl] 2,3-dihydro-1,4-benzoxazine-4-carboxylate",134817170.0
,0,,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)C(F)(F)F.Cl,"N,N-dimethyl-3-[2-(trifluoromethyl)phenothiazin-10-yl]propan-1-amine;hydrochloride",66069.0
,0,,COC1=CC(=CC(=C1)/C=C/C2=CC=C(C=C2)O)OC,"4-[(E)-2-(3,5-dimethoxyphenyl)ethenyl]phenol",5281727.0
,0,,CC(=O)N[C@@H](CS)C(=O)O,(2R)-2-acetamido-3-sulfanylpropanoic acid,12035.0
,0,,C1=CC(=CC=C1N/C(=N/C(=NCCCCCCN=C(/N=C(/NC2=CC=C(C=C2)Cl)\N)N)N)/N)Cl,2-[6-[[amino-[[amino-(4-chloroanilino)methylidene]amino]methylidene]amino]hexyl]-1-[amino-(4-chloroanilino)methylidene]guanidine,2713.0
,0,,C1CCN(C(C1)CC2=CC=CC=C2)C(=O)N3C=C(N=N3)C4=CC=C(C=C4)C5=CC=CC=C5,(2-benzylpiperidin-1-yl)-[4-(4-phenylphenyl)triazol-1-yl]methanone,53364540.0
,0,,CC(=C)[C@H]1CC2=C(O1)C=CC3=C2O[C@@H]4COC5=CC(=C(C=C5[C@@H]4C3=O)OC)OC,"(1S,6R,13S)-16,17-dimethoxy-6-prop-1-en-2-yl-2,7,20-trioxapentacyclo[11.8.0.03,11.04,8.014,19]henicosa-3(11),4(8),9,14,16,18-hexaen-12-one",6758.0
,0,,CC(C)(C=C)C1=C(C=C(C(=C1)/C=C/C(=O)C2=CC=C(C=C2)O)OC)O,(E)-3-[4-hydroxy-2-methoxy-5-(2-methylbut-3-en-2-yl)phenyl]-1-(4-hydroxyphenyl)prop-2-en-1-one,5318998.0
,0,,C1CN(CCN1CCC2=C(C=C3C(=C2)CC(=O)N3)Cl)C4=NSC5=CC=CC=C54.O.Cl,"5-[2-[4-(1,2-benzothiazol-3-yl)piperazin-1-yl]ethyl]-6-chloro-1,3-dihydroindol-2-one;hydrate;hydrochloride",60853.0
,0,,CCN(CC)CCN(CC1=CC=C(C=C1)C2=CC=C(C=C2)C(F)(F)F)C(=O)CN3C4=C(CCC4)C(=O)N=C3SCC5=CC=C(C=C5)F,"N-[2-(diethylamino)ethyl]-2-[2-[(4-fluorophenyl)methylsulfanyl]-4-oxo-6,7-dihydro-5H-cyclopenta[d]pyrimidin-1-yl]-N-[[4-[4-(trifluoromethyl)phenyl]phenyl]methyl]acetamide",9939609.0
,0,,C[C@H]1CCCC(=O)CCC/C=C/C2=C(C(=CC(=C2)O)O)C(=O)O1,"(4S,12E)-16,18-dihydroxy-4-methyl-3-oxabicyclo[12.4.0]octadeca-1(14),12,15,17-tetraene-2,8-dione",5281576.0
,0,,CC1=NN=C(S1)SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)CN4C=NN=N4)SC2)C(=O)[O-].[Na+],"sodium;(6R,7R)-3-[(5-methyl-1,3,4-thiadiazol-2-yl)sulfanylmethyl]-8-oxo-7-[[2-(tetrazol-1-yl)acetyl]amino]-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylate",23675322.0
,0,,C1C2=CC=CC=C2N(C3=CC=CC=C3C1=O)C(=O)N,5-oxo-6H-benzo[b][1]benzazepine-11-carboxamide,34312.0
,0,,C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl)CCO,2-[4-[3-(2-chlorophenothiazin-10-yl)propyl]piperazin-1-yl]ethanol,4748.0
,0,,CCCNCC(COC1=CC=CC=C1C(=O)CCC2=CC=CC=C2)O.Cl,1-[2-[2-hydroxy-3-(propylamino)propoxy]phenyl]-3-phenylpropan-1-one;hydrochloride,36708.0
,0,,C(CC(=O)N[C@@H](CS)C(=O)NCC(=O)O)[C@@H](C(=O)O)N,(2S)-2-amino-5-[[(2R)-1-(carboxymethylamino)-1-oxo-3-sulfanylpropan-2-yl]amino]-5-oxopentanoic acid,124886.0
,0,,COC(=O)N1C(=O)[C@@](N1C(=O)OC)(C2CCCC2)C3=CC=CC=C3,"dimethyl (3R)-3-cyclopentyl-4-oxo-3-phenyldiazetidine-1,2-dicarboxylate",24856225.0
,0,,C1CCN(C1)C(=O)N2C=CN=N2,pyrrolidin-1-yl(triazol-1-yl)methanone,46829239.0
,0,,CCN1C2=CC3=C(C=C2C(=O)C(=N1)C(=O)O)OCO3,"1-ethyl-4-oxo-[1,3]dioxolo[4,5-g]cinnoline-3-carboxylic acid",2762.0
,0,,CN(C)CCC1=CNC2=C1C=C(C=C2)CN3C=NC=N3.C1=CC=C(C=C1)C(=O)O,"benzoic acid;N,N-dimethyl-2-[5-(1,2,4-triazol-1-ylmethyl)-1H-indol-3-yl]ethanamine",77997.0
,0,,C1CN(CCC1=CC2=CC(=CC=C2)OC3=NC=C(C=C3)C(F)(F)F)C(=O)NC4=NN=CC=C4,N-pyridazin-3-yl-4-[[3-[5-(trifluoromethyl)pyridin-2-yl]oxyphenyl]methylidene]piperidine-1-carboxamide,24771824.0
,0,,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[N-]=O.O.O.[Na+].[Na+].[Fe+4],disodium;iron(4+);nitroxyl anion;pentacyanide;dihydrate,25199963.0
,0,,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CS3,methyl N-[6-(thiophene-2-carbonyl)-1H-benzimidazol-2-yl]carbamate,4122.0
,0,,CC(=O)/C=C\1/C2=CC=CC=C2N(C1=O)C,(3Z)-1-methyl-3-(2-oxopropylidene)indol-2-one,12480412.0
,0,,COC1=CC=C(C=C1)CCN2CCC(CC2)NC3=NC4=CC=CC=C4N3CC5=CC=C(C=C5)F,1-[(4-fluorophenyl)methyl]-N-[1-[2-(4-methoxyphenyl)ethyl]piperidin-4-yl]benzimidazol-2-amine,2247.0
,0,,CC1=C(C(C(=C(N1)C)C(=O)OCC(C)C)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC,"3-O-methyl 5-O-(2-methylpropyl) 2,6-dimethyl-4-(2-nitrophenyl)-1,4-dihydropyridine-3,5-dicarboxylate",4499.0
,0,,CCCCCCCCCC[C@H]1[C@@H](OC1=O)CCC2=CC(=C(C=C2)OC)OC,"(3S,4S)-3-decyl-4-[2-(3,4-dimethoxyphenyl)ethyl]oxetan-2-one",45100481.0
,0,,COCCCC/C(=N\OCCN)/C1=CC=C(C=C1)C(F)(F)F,2-[(E)-[5-methoxy-1-[4-(trifluoromethyl)phenyl]pentylidene]amino]oxyethanamine,5324346.0
,0,,CC(C)[N+](C)(CCOC(=O)C1C2=CC=CC=C2OC3=CC=CC=C13)C(C)C.[Br-],methyl-di(propan-2-yl)-[2-(9H-xanthene-9-carbonyloxy)ethyl]azanium;bromide,9279.0
,0,,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC(=C(C=C4CC3)OC)OC)OC,"2,3,9,10-tetramethoxy-5,6-dihydroisoquinolino[2,1-b]isoquinolin-7-ium",19009.0
,0,,COC1=CC=C(C=C1)C2=CC=C(C=C2)C3=CN(N=N3)C(=O)N4CCCCC4C5=CC=CC=C5,[4-[4-(4-methoxyphenyl)phenyl]triazol-1-yl]-(2-phenylpiperidin-1-yl)methanone,53364533.0
,0,,CC1=CC(=C(C=C1)SC2=CC=CC=C2N3CCNCC3)C,"1-[2-(2,4-dimethylphenyl)sulfanylphenyl]piperazine",9966051.0
,0,,C[C@H]1COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4(C)C,"(1R)-1,6,6-trimethyl-2,7,8,9-tetrahydro-1H-naphtho[1,2-g][1]benzofuran-10,11-dione",160254.0
,0,,C[C@](CC1=CC(=C(C=C1)O)O)(C(=O)O)NN,"(2S)-3-(3,4-dihydroxyphenyl)-2-hydrazinyl-2-methylpropanoic acid",34359.0
,0,,C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl,4-chloro-2-(furan-2-ylmethylamino)-5-sulfamoylbenzoic acid,3440.0
,0,,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C=C(C(=C3O)O)O)O,"5,6,7-trihydroxy-2-(4-hydroxyphenyl)chromen-4-one",5281697.0
,0,,CCN(CC)CCNC(=O)C1=C(C=CC(=C1)S(=O)(=O)C)OC.Cl,N-[2-(diethylamino)ethyl]-2-methoxy-5-methylsulfonylbenzamide;hydrochloride,5702214.0
,0,,CC1=CC(=CC=C1)C2CN(CCC3=C(C(=C(C=C23)O)O)Cl)C.Br,"9-chloro-3-methyl-5-(3-methylphenyl)-1,2,4,5-tetrahydro-3-benzazepine-7,8-diol;hydrobromide",11957685.0
,0,,C1=CC=C(C(=C1)C(=O)OC2=CC=CC=C2C(=O)O)O,2-(2-hydroxybenzoyl)oxybenzoic acid,5161.0
,0,,C1=CC=C(C=C1)CCC2/C(=C/CCCCC(=O)N)/C(=O)O2,(6Z)-6-[2-oxo-4-(2-phenylethyl)oxetan-3-ylidene]hexanamide,86289034.0
,0,,CC1(C=CC2=C(O1)C=CC3=C2O[C@@H]4COC5=CC(=C(C=C5[C@@H]4C3=O)OC)OC)C,"(1S,14S)-17,18-dimethoxy-7,7-dimethyl-2,8,21-trioxapentacyclo[12.8.0.03,12.04,9.015,20]docosa-3(12),4(9),5,10,15,17,19-heptaen-13-one",107935.0
,0,,CC[N+](CC)(CC)CCOC1=CC=C(C=C1)/C=C/C2=CC=CC=C2.[I-],triethyl-[2-[4-[(E)-2-phenylethenyl]phenoxy]ethyl]azanium;iodide,6433339.0
,0,,CC1=CC2=C(C=C1)OC/C(=C\C3=CC(=C(C=C3)OC)O)/C2=O,(3E)-3-[(3-hydroxy-4-methoxyphenyl)methylidene]-6-methylchromen-4-one,24987039.0
,0,,CC(=O)NS(=O)(=O)C1=CC=C(C=C1)N,N-(4-aminophenyl)sulfonylacetamide,5320.0
,0,,C1CN(CCC1C(C2=CC3=C(C=C2)OCO3)(C4=CC5=C(C=C4)OCO5)O)C(=O)OC(C(F)(F)F)C(F)(F)F,"1,1,1,3,3,3-hexafluoropropan-2-yl 4-[bis(1,3-benzodioxol-5-yl)-hydroxymethyl]piperidine-1-carboxylate",71656212.0
,0,,C[C@@H]([C@@H](C1=CC=C(C=C1)O)O)NCCC2=CC=C(C=C2)O.Cl,"4-[2-[[(1R,2S)-1-hydroxy-1-(4-hydroxyphenyl)propan-2-yl]amino]ethyl]phenol;hydrochloride",31728.0
,0,,CCCC[N+]1([C@@H]2CC(C[C@H]1[C@H]3[C@@H]2O3)OC(=O)[C@H](CO)C4=CC=CC=C4)C.[Br-],"[(1S,2S,4R,5R)-9-butyl-9-methyl-3-oxa-9-azoniatricyclo[3.3.1.02,4]nonan-7-yl] (2S)-3-hydroxy-2-phenylpropanoate;bromide",6852391.0
,0,,CC[C@@]1(C[C@@H]2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O.OS(=O)(=O)O,"methyl (1R,9R,10S,11R,12R,19R)-11-acetyloxy-12-ethyl-4-[(13S,15S,17S)-17-ethyl-17-hydroxy-13-methoxycarbonyl-1,11-diazatetracyclo[13.3.1.04,12.05,10]nonadeca-4(12),5,7,9-tetraen-13-yl]-8-formyl-10-hydroxy-5-methoxy-8,16-diazapentacyclo[10.6.1.01,9.02,7.016,19]nonadeca-2,4,6,13-tetraene-10-carboxylate;sulfuric acid",249332.0
,0,,CCN(CC)C(=O)[C@@]1(C[C@@H]1CN)C2=CC=CC=C2.Cl,"(1R,2S)-2-(aminomethyl)-N,N-diethyl-1-phenylcyclopropane-1-carboxamide;hydrochloride",163701.0
,0,,CC(C)C1=CC=CC=C1OC(=O)NCCC2=CC3=CC=CC=C3C=C2,(2-propan-2-ylphenyl) N-(2-naphthalen-2-ylethyl)carbamate,57330099.0
